Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GLP1R_3PA_GLP1_1 Spectral Count	GLP1R_3PA_GLP1_2 Spectral Count	GLP1R_3PA_GLP1_3 Spectral Count	GLP1R_3PA_GLP1_4 Spectral Count	GLP1R_3PA_VEH_1 Spectral Count	GLP1R_3PA_VEH_2 Spectral Count	GLP1R_3PA_VEH_3 Spectral Count	GLP1R_3PA_VEH_4 Spectral Count	GLP1R_WT_GLP1_1 Spectral Count	GLP1R_WT_GLP1_2 Spectral Count	GLP1R_WT_GLP1_3 Spectral Count	GLP1R_WT_GLP1_4 Spectral Count	GLP1R_WT_VEH_1 Spectral Count	GLP1R_WT_VEH_2 Spectral Count	GLP1R_WT_VEH_3 Spectral Count	GLP1R_WT_VEH_4 Spectral Count	NEG_1 Spectral Count	GLP1R_3PA_GLP1_1 Unique Spectral Count	GLP1R_3PA_GLP1_2 Unique Spectral Count	GLP1R_3PA_GLP1_3 Unique Spectral Count	GLP1R_3PA_GLP1_4 Unique Spectral Count	GLP1R_3PA_VEH_1 Unique Spectral Count	GLP1R_3PA_VEH_2 Unique Spectral Count	GLP1R_3PA_VEH_3 Unique Spectral Count	GLP1R_3PA_VEH_4 Unique Spectral Count	GLP1R_WT_GLP1_1 Unique Spectral Count	GLP1R_WT_GLP1_2 Unique Spectral Count	GLP1R_WT_GLP1_3 Unique Spectral Count	GLP1R_WT_GLP1_4 Unique Spectral Count	GLP1R_WT_VEH_1 Unique Spectral Count	GLP1R_WT_VEH_2 Unique Spectral Count	GLP1R_WT_VEH_3 Unique Spectral Count	GLP1R_WT_VEH_4 Unique Spectral Count	NEG_1 Unique Spectral Count	GLP1R_3PA_GLP1_1 Total Spectral Count	GLP1R_3PA_GLP1_2 Total Spectral Count	GLP1R_3PA_GLP1_3 Total Spectral Count	GLP1R_3PA_GLP1_4 Total Spectral Count	GLP1R_3PA_VEH_1 Total Spectral Count	GLP1R_3PA_VEH_2 Total Spectral Count	GLP1R_3PA_VEH_3 Total Spectral Count	GLP1R_3PA_VEH_4 Total Spectral Count	GLP1R_WT_GLP1_1 Total Spectral Count	GLP1R_WT_GLP1_2 Total Spectral Count	GLP1R_WT_GLP1_3 Total Spectral Count	GLP1R_WT_GLP1_4 Total Spectral Count	GLP1R_WT_VEH_1 Total Spectral Count	GLP1R_WT_VEH_2 Total Spectral Count	GLP1R_WT_VEH_3 Total Spectral Count	GLP1R_WT_VEH_4 Total Spectral Count	NEG_1 Total Spectral Count	GLP1R_3PA_GLP1_1 Intensity	GLP1R_3PA_GLP1_2 Intensity	GLP1R_3PA_GLP1_3 Intensity	GLP1R_3PA_GLP1_4 Intensity	GLP1R_3PA_VEH_1 Intensity	GLP1R_3PA_VEH_2 Intensity	GLP1R_3PA_VEH_3 Intensity	GLP1R_3PA_VEH_4 Intensity	GLP1R_WT_GLP1_1 Intensity	GLP1R_WT_GLP1_2 Intensity	GLP1R_WT_GLP1_3 Intensity	GLP1R_WT_GLP1_4 Intensity	GLP1R_WT_VEH_1 Intensity	GLP1R_WT_VEH_2 Intensity	GLP1R_WT_VEH_3 Intensity	GLP1R_WT_VEH_4 Intensity	NEG_1 Intensity	GLP1R_3PA_GLP1_1 MaxLFQ Intensity	GLP1R_3PA_GLP1_2 MaxLFQ Intensity	GLP1R_3PA_GLP1_3 MaxLFQ Intensity	GLP1R_3PA_GLP1_4 MaxLFQ Intensity	GLP1R_3PA_VEH_1 MaxLFQ Intensity	GLP1R_3PA_VEH_2 MaxLFQ Intensity	GLP1R_3PA_VEH_3 MaxLFQ Intensity	GLP1R_3PA_VEH_4 MaxLFQ Intensity	GLP1R_WT_GLP1_1 MaxLFQ Intensity	GLP1R_WT_GLP1_2 MaxLFQ Intensity	GLP1R_WT_GLP1_3 MaxLFQ Intensity	GLP1R_WT_GLP1_4 MaxLFQ Intensity	GLP1R_WT_VEH_1 MaxLFQ Intensity	GLP1R_WT_VEH_2 MaxLFQ Intensity	GLP1R_WT_VEH_3 MaxLFQ Intensity	GLP1R_WT_VEH_4 MaxLFQ Intensity	NEG_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q6IMG5|NHLC1_RAT	Q6IMG5	NHLC1_RAT	Nhlrc1	396	Rattus norvegicus	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase NHLRC1	1.0	0.999	3	30	30	30	2	2	3	2	3	0	1	2	1	1	3	0	1	1	2	4	2	2	2	3	2	3	0	1	2	1	1	3	0	1	1	2	4	2	2	2	3	2	3	0	1	2	1	1	3	0	1	1	2	4	2	38456.117	40626.117	45254.688	16256.922	35199.332	18763.32	31793.54	36487.21	36967.56	37708.09	41803.734	17688.16	32592.027	49568.85	47441.85	47877.727	31467.438	24420.79	24842.727	28902.412	28704.416	21814.684	11494.318	19274.967	21895.451	22298.564	23009.805	26159.629	11349.054	14412.097	21873.525	21578.064	21286.826	20245.406	
sp|Q6IMX7|HPBP1_RAT	Q6IMX7	HPBP1_RAT	Hspbp1	357	Rattus norvegicus	1:Experimental evidence at protein level	Hsp70-binding protein 1	1.0	0.999	4	49	0	49	4	3	2	2	3	2	3	2	1	3	3	5	3	3	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	2	3	2	3	2	1	3	3	5	3	3	3	4	3	72013.04	64985.703	78405.53	71512.73	64171.93	55137.695	77928.58	70102.04	75198.81	82830.31	86906.53	40122.12	83053.766	94408.04	86430.31	90809.31	41881.527	42111.066	45048.594	47499.734	43471.633	39150.75	38576.516	47355.88	41415.613	44739.57	36991.746	43655.918	41183.695	42915.48	44016.188	45917.035	46919.723	25722.018	tr|A0ABK0KY14|A0ABK0KY14_RAT
sp|Q6IMY8|HNRPU_RAT	Q6IMY8	HNRPU_RAT	Hnrnpu	798	Rattus norvegicus	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein U	1.0	0.999	22	1152	37	1152	64	66	59	65	76	69	72	76	63	60	66	50	73	74	77	73	69	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	3	64	66	59	65	76	69	72	76	63	60	66	50	73	74	77	73	69	9993795.0	9679415.0	9018756.0	9348521.0	9844581.0	9366169.0	9843066.0	9987638.0	8845772.0	8167497.0	8083638.5	7697269.0	9482443.0	9534543.0	9544355.0	9220690.0	9064971.0	1508920.9	1503670.5	1350894.2	1448004.4	1565302.2	1374251.8	1605447.5	1561603.0	1340787.9	1131847.0	1251231.5	1091777.1	1479544.1	1504926.9	1658585.5	1485314.1	1615729.1	
sp|Q6IRE4|TS101_RAT	Q6IRE4	TS101_RAT	Tsg101	391	Rattus norvegicus	1:Experimental evidence at protein level	Tumor susceptibility gene 101 protein	1.0	0.999	3	5	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	7287.703	0.0	7098.2725	4962.7925	6454.49	7851.307	0.0	6258.4224	0.0	27846.102	27511.164	25087.436	5895.8984	23617.555	25977.06	177478.77	0.0	11457.3	0.0	11159.487	7802.2114	10147.371	12343.364	0.0	9839.124	0.0	15606.192	15184.831	16437.773	9269.186	12777.36	13013.345	12814.447	0.0	tr|A0A8L2Q9C5|A0A8L2Q9C5_RAT, tr|A0ABK0LS70|A0ABK0LS70_RAT
sp|Q6IUU3|QSOX1_RAT	Q6IUU3	QSOX1_RAT	Qsox1	750	Rattus norvegicus	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0	0.999	3	66	66	66	5	2	5	3	4	3	4	5	2	3	6	4	2	7	2	3	6	5	2	5	3	4	3	4	5	2	3	6	4	2	7	2	3	6	5	2	5	3	4	3	4	5	2	3	6	4	2	7	2	3	6	37697.273	807346.9	716066.44	745506.56	807206.3	804333.75	696533.1	848507.4	792269.8	709713.94	677062.25	671638.75	63940.89	748580.56	638425.6	706807.9	2379919.2	459442.22	499496.8	464753.4	510505.47	510494.84	516511.34	463754.97	547751.2	462897.44	479846.06	490700.75	442473.5	469624.34	487348.06	431803.2	460597.4	637089.1	
sp|Q6JE36|NDRG1_RAT	Q6JE36	NDRG1_RAT	Ndrg1	394	Rattus norvegicus	1:Experimental evidence at protein level	Protein NDRG1	1.0	0.999	6	136	0	136	8	8	8	8	6	10	7	10	7	6	10	8	9	7	9	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	6	10	7	10	7	6	10	8	9	7	9	8	7	254061.42	165393.78	187870.44	190592.38	258123.66	252814.94	228254.0	246565.97	107468.41	270983.38	260542.9	207562.62	252020.86	263521.0	195123.38	251262.75	155547.33	62001.19	71089.38	64278.39	63231.96	63124.207	59706.74	57822.38	58514.496	60666.688	64163.56	59872.992	68936.3	59598.484	61740.293	64862.8	63385.64	51081.297	tr|A0A1W2Q609|A0A1W2Q609_RAT, tr|A0A1W2Q686|A0A1W2Q686_RAT, tr|A0A1W2Q6A2|A0A1W2Q6A2_RAT
sp|Q6MG06|GNL1_RAT	Q6MG06	GNL1_RAT	Gnl1	607	Rattus norvegicus	1:Experimental evidence at protein level	Guanine nucleotide-binding protein-like 1	1.0	0.999	7	68	0	68	5	7	2	2	4	5	3	2	4	2	7	4	2	4	3	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	2	2	4	5	3	2	4	2	7	4	2	4	3	5	7	48975.207	48396.2	41664.688	42068.746	53594.523	42730.637	50162.7	50052.1	45150.1	59276.45	55949.363	44531.71	63613.68	60236.53	50629.18	59225.945	140505.97	26730.049	26435.842	22558.197	22979.51	28877.814	23303.67	27205.523	27345.994	24627.418	26974.959	25582.326	24236.172	28309.465	26707.154	23187.441	26916.771	40935.312	tr|A0A0G2K6Q5|A0A0G2K6Q5_RAT, tr|A0ABK0LX16|A0ABK0LX16_RAT
sp|Q6MG07|PRR3_RAT	Q6MG07	PRR3_RAT	Prr3	186	Rattus norvegicus	2:Experimental evidence at transcript level	Proline-rich protein 3	1.0	0.999	6	63	58	63	4	4	2	4	3	2	4	3	3	2	3	2	5	5	6	4	7	4	4	2	4	3	2	4	2	3	2	3	2	4	4	5	3	7	4	4	2	4	3	2	4	3	3	2	3	2	5	5	6	4	7	180000.89	215172.64	175936.88	183539.23	223314.69	146091.17	210708.48	222226.94	170358.94	237264.78	245213.55	205689.55	242936.34	282209.03	237860.61	193798.95	364687.22	78136.08	74286.445	76464.94	71827.484	83959.3	72350.38	83939.51	87236.64	61999.97	82664.945	87179.86	72985.26	81049.9	91049.72	78793.086	74562.336	108847.6	
sp|Q6MG08|ABCF1_RAT	Q6MG08	ABCF1_RAT	Abcf1	839	Rattus norvegicus	1:Experimental evidence at protein level	ATP-binding cassette sub-family F member 1	1.0	0.999	30	943	0	943	48	55	53	61	56	55	55	53	54	46	55	53	57	63	55	65	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	55	53	61	56	55	55	53	54	46	55	53	57	63	55	65	59	3571212.5	3514384.8	3304318.2	3491425.0	3887710.0	3857414.8	3426977.8	3815230.2	3402277.0	3649686.8	3822740.0	3344680.8	3959324.2	4108950.2	3703372.8	3952947.5	3904074.8	282803.47	277100.2	271565.78	281321.25	309274.4	285593.1	277972.56	288487.1	271473.0	276832.84	289290.44	258497.45	315663.5	309574.6	281396.06	297680.2	307680.84	tr|A0A8L2PZQ3|A0A8L2PZQ3_RAT
sp|Q6MG48|PRC2A_RAT	Q6MG48	PRC2A_RAT	Prrc2a	2161	Rattus norvegicus	1:Experimental evidence at protein level	Protein PRRC2A	1.0	0.999	22	261	0	261	15	11	14	11	17	13	18	17	14	14	13	13	16	19	14	25	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	14	11	17	13	18	17	14	14	13	13	16	19	14	25	17	605398.8	572007.0	572018.4	554256.06	581411.1	549963.0	544906.8	537260.44	522397.5	479527.9	601314.6	500396.34	575421.44	476036.53	538506.0	556254.94	509630.5	52808.742	51020.875	50276.066	51759.27	49011.547	50600.69	51306.863	53628.973	47420.805	46775.055	51389.73	47077.617	52164.348	49423.04	49997.094	47417.582	49519.883	tr|A0A0U1RRZ5|A0A0U1RRZ5_RAT, tr|A0A8L2PZU5|A0A8L2PZU5_RAT, tr|A0ABK0KVV3|A0ABK0KVV3_RAT
sp|Q6MG49|BAG6_RAT	Q6MG49	BAG6_RAT	Bag6	1146	Rattus norvegicus	1:Experimental evidence at protein level	Large proline-rich protein BAG6	1.0	0.999	10	162	0	162	12	8	9	7	4	9	6	9	7	8	12	14	16	13	11	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	9	7	4	9	6	9	7	8	12	14	16	13	11	15	2	403238.0	366896.94	336916.2	340829.56	268746.66	398097.3	290593.1	325866.78	378804.5	325607.38	279130.2	308140.22	348095.72	390894.78	383253.94	245451.66	201913.28	79719.4	80275.51	83322.03	88577.87	77788.195	81719.17	83210.9	73822.44	90841.016	95861.23	93991.9	101577.18	86408.555	90603.29	88657.99	87358.46	55970.695	tr|A0A0G2K7C1|A0A0G2K7C1_RAT, tr|A0A8I6ADC3|A0A8I6ADC3_RAT, tr|A0A8L2PYQ1|A0A8L2PYQ1_RAT, tr|A0A8L2QS48|A0A8L2QS48_RAT
sp|Q6MG55|ABHGA_RAT	Q6MG55	ABHGA_RAT	Abhd16a	558	Rattus norvegicus	2:Experimental evidence at transcript level	Phosphatidylserine lipase ABHD16A	1.0	0.999	3	20	0	20	0	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	0	0.0	34601.027	34592.633	38300.47	32215.639	38717.11	40614.887	31825.744	28269.629	56549.26	57910.21	65617.06	53081.1	50276.34	9687.727	75871.77	0.0	0.0	33228.55	33220.49	36781.25	30937.78	37181.363	39003.867	30563.352	27148.293	54306.19	44981.863	52082.547	41845.656	40017.94	44023.848	41223.57	0.0	tr|A0A0G2K0X5|A0A0G2K0X5_RAT, tr|A0ABK0L7K7|A0ABK0L7K7_RAT, tr|A0ABK0LAP3|A0ABK0LAP3_RAT
sp|Q6MG61|CLIC1_RAT	Q6MG61	CLIC1_RAT	Clic1	241	Rattus norvegicus	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0	0.999	3	42	2	42	4	2	2	3	2	2	3	3	2	2	2	4	3	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	2	3	2	2	3	3	2	2	2	4	3	2	3	2	1	142983.7	130049.125	102468.86	103051.24	112942.19	97942.39	124526.09	104966.11	119453.71	123768.484	114075.93	128835.35	101684.4	96372.64	121388.945	116403.94	85250.734	69714.22	63225.14	65414.227	63288.55	55197.91	61988.645	61189.523	67025.52	57964.02	61237.945	56266.492	63856.73	50553.035	60251.35	59851.03	55785.684	39640.76	
sp|Q6MGB4|S39A7_RAT	Q6MGB4	S39A7_RAT	Slc39a7	468	Rattus norvegicus	1:Experimental evidence at protein level	Zinc transporter SLC39A7	1.0	0.999	2	29	0	29	1	1	1	0	2	2	1	1	5	2	3	3	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	1	1	5	2	3	3	2	1	1	3	0	29395.656	24190.16	14477.42	24774.531	14113.085	27244.387	26241.95	23937.174	53653.883	52786.492	37451.31	59849.086	54509.055	22118.334	33369.227	51941.066	22662.55	16386.39	12465.723	14785.24	14107.54	14413.158	15564.619	14650.763	13625.324	30674.986	29850.617	38247.6	33846.3	30438.895	22588.615	34078.727	29007.283	12987.098	tr|A0A9M1WLR8|A0A9M1WLR8_RAT
sp|Q6NYB7|RAB1A_RAT	Q6NYB7	RAB1A_RAT	Rab1A	205	Rattus norvegicus	1:Experimental evidence at protein level	Ras-related protein Rab-1A	1.0	0.999	11	258	0	326	15	11	16	17	17	16	13	17	17	16	12	15	16	14	16	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	14	21	20	22	20	18	22	20	20	16	18	20	19	20	23	14	850147.6	922290.6	872070.1	853203.94	766971.1	876454.3	895314.7	891488.25	978780.25	1190910.0	1271495.2	1224499.5	933740.5	907648.4	950757.75	1315436.1	587847.94	257936.53	269028.22	247981.83	251411.88	227122.98	241015.16	244249.61	249574.97	249223.61	259062.06	253167.28	281736.25	251827.9	257139.1	264710.62	279135.66	162156.77	tr|A0A8I6A1C8|A0A8I6A1C8_RAT
sp|Q6P0K8|PLAK_RAT	Q6P0K8	PLAK_RAT	Jup	745	Rattus norvegicus	1:Experimental evidence at protein level	Junction plakoglobin	1.0	0.999	3	3	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	6563.386	0.0	0.0	7284.058	7035.8765	9556.303	7194.0034	7732.3623	7169.9497	0.0	18450.111	0.0	16948.047	4898.0566	11190.483	7864.0093	0.0	6563.386	0.0	0.0	7284.058	7035.8765	9556.303	7194.0034	7732.3623	7169.9497	0.0	18450.111	0.0	16948.047	4898.0566	11190.483	7864.0093	0.0	tr|A0A8L2R4T1|A0A8L2R4T1_RAT
sp|Q6P3E0|THYN1_RAT	Q6P3E0	THYN1_RAT	Thyn1	226	Rattus norvegicus	2:Experimental evidence at transcript level	Thymocyte nuclear protein 1	0.9999	0.999	2	18	0	18	3	2	1	0	3	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	3	1	1	1	1	1	1	0	1	1	1	0	0	27428.477	23355.129	25265.697	23034.748	26094.75	26297.938	14225.158	26268.387	24152.656	16120.243	15705.902	14264.878	15457.242	21845.438	25050.896	22999.545	28221.674	18061.156	15320.456	16147.298	15072.125	17086.664	17187.42	14225.158	17286.9	15827.314	16120.243	15705.902	14264.878	15457.242	14385.941	16480.592	15130.404	18405.135	tr|A0A8I6AMV2|A0A8I6AMV2_RAT, tr|A0A8L2R049|A0A8L2R049_RAT
sp|Q6P502|TCPG_RAT	Q6P502	TCPG_RAT	Cct3	545	Rattus norvegicus	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1.0	0.999	25	407	0	407	23	22	17	21	24	25	22	21	24	24	22	22	27	28	28	35	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	17	21	24	25	22	21	24	24	22	22	27	28	28	35	22	780611.9	856646.25	653483.4	796646.1	815922.0	931635.2	885661.25	877596.06	840025.25	899720.75	889370.7	964257.8	1008108.75	1060964.0	1138877.6	1157848.9	819117.8	81383.89	86132.05	82558.59	85214.7	82143.04	89023.16	84930.66	85679.805	90441.984	90147.21	88919.15	92318.38	89805.664	93479.945	93669.81	102105.53	75876.03	
sp|Q6P5P3|TTC9C_RAT	Q6P5P3	TTC9C_RAT	Ttc9c	171	Rattus norvegicus	2:Experimental evidence at transcript level	Tetratricopeptide repeat protein 9C	1.0	0.999	1	37	0	37	1	4	3	6	2	3	2	2	2	1	2	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	6	2	3	2	2	2	1	2	3	2	1	1	2	0	12436.177	39746.35	40286.855	41518.117	33714.703	39843.312	38264.03	44246.844	36189.69	32949.5	36005.668	42257.836	11957.196	35906.96	35889.5	33708.473	0.0	18960.197	22653.957	23411.848	24755.604	20236.28	23532.852	21831.768	26272.117	21569.324	19289.76	20571.467	24817.387	18229.943	20114.738	19758.545	19605.56	0.0	tr|A0A8I6AP96|A0A8I6AP96_RAT
sp|Q6P5P5|MEST_RAT	Q6P5P5	MEST_RAT	Mest	335	Rattus norvegicus	2:Experimental evidence at transcript level	Mesoderm-specific transcript homolog protein	0.9778	0.999	1	17	0	17	0	1	0	0	1	0	0	2	2	2	1	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	2	1	2	1	1	1	1	2	17899.96	15447.952	16505.521	16519.076	0.0	14676.445	18399.807	16762.316	19796.344	15422.4795	23837.234	19219.734	21601.838	15717.218	21253.287	14639.351	23613.486	17899.96	15447.952	16505.521	16519.076	0.0	14676.445	18399.807	16762.316	19796.344	15422.4795	23837.234	19219.734	21601.838	15717.218	21253.287	14639.351	23613.486	tr|A0A8I6A954|A0A8I6A954_RAT, tr|A0ABK0L5G9|A0ABK0L5G9_RAT, tr|A0ABK0LMP3|A0ABK0LMP3_RAT, tr|A0ABK0LY81|A0ABK0LY81_RAT, tr|M0R830|M0R830_RAT
sp|Q6P6Q2|K2C5_RAT	Q6P6Q2	K2C5_RAT	Krt5	576	Rattus norvegicus	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 5	1.0	0.999	6	7	0	47	0	0	1	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	0	7	2	2	3	1	1	3	3	5	1	6	3	0.0	12585.268	29439.238	33271.92	0.0	49346.246	19134.652	19181.324	30006.312	25635.688	12331.998	36877.844	15130.373	41251.74	15491.787	8794.31	0.0	0.0	12382.96	28966.004	32737.078	0.0	32318.87	18827.064	18872.986	29523.963	16210.963	12133.762	23818.668	14887.153	27267.4	15242.758	16816.982	0.0	tr|F7FFV2|F7FFV2_RAT
sp|Q6P6Q9|MICU1_RAT	Q6P6Q9	MICU1_RAT	Micu1	477	Rattus norvegicus	2:Experimental evidence at transcript level	Calcium uptake protein 1, mitochondrial	0.9778	0.999	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	13249.838	20130.342	14769.507	16297.4	18375.387	14714.412	16140.192	19762.715	17409.37	14602.999	16941.568	14970.806	12363.862	17003.152	13612.739	16882.783	18456.459	13249.838	20130.342	14769.507	16297.4	18375.387	14714.412	16140.192	19762.715	17409.37	14602.999	16941.568	14970.806	12363.862	17003.152	13612.739	16882.783	18456.459	tr|A0A0G2K0T5|A0A0G2K0T5_RAT, tr|A0A8I6ACS4|A0A8I6ACS4_RAT, tr|A0A8I6AKH4|A0A8I6AKH4_RAT, tr|F1LNV5|F1LNV5_RAT
sp|Q6P6R7|SGSM3_RAT	Q6P6R7	SGSM3_RAT	Sgsm3	749	Rattus norvegicus	1:Experimental evidence at protein level	Small G protein signaling modulator 3	0.965	0.9984	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8261.798	0.0	0.0	0.0	10082.736	0.0	11477.533	7570.127	0.0	9141.66	14307.253	14180.487	12924.5	12043.329	11670.263	10783.192	0.0	8261.798	0.0	0.0	0.0	10082.736	0.0	11477.533	7570.127	0.0	9141.66	14307.253	14180.487	12924.5	12043.329	11670.263	10783.192	0.0	tr|A0A8I5ZPG8|A0A8I5ZPG8_RAT, tr|F1LQU9|F1LQU9_RAT
sp|Q6P6T5|OCLN_RAT	Q6P6T5	OCLN_RAT	Ocln	523	Rattus norvegicus	1:Experimental evidence at protein level	Occludin	0.9994	0.9978	2	3	3	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0.0	12198.746	15961.8125	6899.024	4556.052	10272.526	0.0	0.0	16226.134	0.0	22372.316	19087.451	18381.652	27540.71	36916.55	17311.877	0.0	0.0	11208.371	14665.927	11962.919	7900.201	17812.578	0.0	0.0	14908.788	0.0	20555.984	17537.805	16889.309	16439.424	22143.209	15906.384	0.0	
sp|Q6P6V0|G6PI_RAT	Q6P6V0	G6PI_RAT	Gpi	558	Rattus norvegicus	1:Experimental evidence at protein level	Glucose-6-phosphate isomerase	1.0	0.999	6	35	0	35	2	3	1	2	1	2	3	2	1	0	0	10	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	1	2	3	2	1	0	0	10	1	3	2	2	0	73219.484	47203.875	41176.547	59266.836	58811.668	38411.43	58026.734	61016.836	62532.2	76755.07	45705.203	259349.8	54585.562	105619.15	96676.94	116851.836	54358.67	32418.916	21853.957	31130.451	28744.172	21854.861	29488.023	26153.855	20491.639	28048.09	23197.47	17403.324	60437.13	19681.816	24843.346	21823.072	25793.182	19176.273	tr|A0A8I6A243|A0A8I6A243_RAT, tr|A0A8I6G6Z4|A0A8I6G6Z4_RAT
sp|Q6P6W3|HDAC3_RAT	Q6P6W3	HDAC3_RAT	Hdac3	428	Rattus norvegicus	1:Experimental evidence at protein level	Histone deacetylase 3	0.9778	0.999	1	8	0	8	0	0	1	0	0	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	1	1	0	9291.009	8964.169	9702.941	10772.675	8624.386	9315.788	10916.48	0.0	9367.029	10079.565	12584.619	11961.057	0.0	9334.581	10329.545	10286.189	12217.53	9291.009	8964.169	9702.941	10772.675	8624.386	9315.788	10916.48	0.0	9367.029	10079.565	12584.619	11961.057	0.0	9334.581	10329.545	10286.189	12217.53	tr|A0A0G2K1C8|A0A0G2K1C8_RAT, tr|A0A0G2K814|A0A0G2K814_RAT
sp|Q6P742|PLP2_RAT	Q6P742	PLP2_RAT	Plp2	151	Rattus norvegicus	2:Experimental evidence at transcript level	Proteolipid protein 2	0.9778	0.999	1	22	0	22	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	53126.79	63460.39	83274.914	59652.035	48905.934	55016.19	55620.87	68708.984	57838.58	56467.074	54375.207	52901.316	48170.773	53024.785	49993.117	69363.93	44746.96	53126.79	63460.39	83274.914	59652.035	48905.934	55016.19	55620.87	68708.984	57838.58	56467.074	54375.207	52901.316	48170.773	53024.785	49993.117	69363.93	44746.96	tr|A0A8I5Y253|A0A8I5Y253_RAT
sp|Q6P747|HP1B3_RAT	Q6P747	HP1B3_RAT	Hp1bp3	553	Rattus norvegicus	1:Experimental evidence at protein level	Heterochromatin protein 1-binding protein 3	1.0	0.999	13	164	0	164	11	7	7	8	7	12	14	12	7	8	9	7	11	10	13	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	7	8	7	12	14	12	7	8	9	7	11	10	13	16	5	521166.3	423473.06	444898.4	465541.1	435897.44	438603.22	505113.06	560485.1	408832.2	363197.94	402151.75	421521.25	446692.88	415875.0	410523.06	461539.78	337367.97	84374.36	73583.445	72463.92	75812.97	74798.95	74120.47	83376.25	84579.375	70929.375	61532.812	62645.07	65596.27	69901.16	68875.87	73951.63	71995.63	56663.094	
